"time","new.core.id","depth_bottom","sample.type","interval","pool_label","id","species","d15n","n_pct","d13c","c_pct","total_volume_cm3","depth_top","sample.type2","g_core"
"t4","DS01",5,"dead biomass","2_5","dead biomass 5cm","DS01-dead biomass 5cm","DS",832.600197,0.007291599,-14.44659319,0.335240241,235.619,2,"dead biomass",13.404
"t0","DS13",5,"fine roots","2_5","fine roots 5cm","DS13-fine roots 5cm","DS",5.692794881,0.01294,-14.53,0.38,235.619,2,"fine roots",0.1084
"t4","DS01",5,"fine roots","2_5","fine roots 5cm","DS01-fine roots 5cm","DS",9572.734121,0.009580965,-14.58206541,0.31127883,235.619,2,"fine roots",0.138
"t0","DS13",5,"rhizomes","2_5","rhizomes 5cm","DS13-rhizomes 5cm","DS",6.264032787,0.01075,-15.11,0.4,235.619,2,"rhizomes",4.2418
"t4","DS01",5,"rhizomes","2_5","rhizomes 5cm","DS01-rhizomes 5cm","DS",1386.645803,0.008117059,-15.02308116,0.343033465,235.619,2,"rhizomes",4.86
"t0","DS13",10,"coarse roots","5_10","coarse roots 10cm","DS13-coarse roots 10cm","DS",5.429425247,0.01004,-14.78,0.36,392.699,5,"coarse roots",0.5322
"t4","DS01",10,"coarse roots","5_10","coarse roots 10cm","DS01-coarse roots 10cm","DS",477.8108754,0.009332824,-14.75486622,0.286544732,392.699,5,"coarse roots",0.278
"t0","DS13",10,"dead biomass","5_10","dead biomass 10cm","DS13-dead biomass 10cm","DS",5.761270987,0.01129,-14.24497449,0.370696169,392.699,5,"dead biomass",18.414
"t4","DS01",10,"dead biomass","5_10","dead biomass 10cm","DS01-dead biomass 10cm","DS",60.13692895,0.009136233,-13.88989417,0.369555407,392.699,5,"dead biomass",27.854
"t0","DS13",10,"fine roots","5_10","fine roots 10cm","DS13-fine roots 10cm","DS",5.510880497,0.01104,-14.57,0.37,392.699,5,"fine roots",0.2222
"t4","DS01",10,"fine roots","5_10","fine roots 10cm","DS01-fine roots 10cm","DS",706.5429645,0.00956628,-14.37962213,0.326343992,392.699,5,"fine roots",0.172
"t0","DS13",10,"rhizomes","5_10","rhizomes 10cm","DS13-rhizomes 10cm","DS",6.318447787,0.00893,-15.34,0.34,392.699,5,"rhizomes",3.177
